個人名和字(Full Name),個人名英字(English Name),法人名和字(Company Name),法人名英字(English Company Name),法人名(略称) (Company Name Short),住所(Physical Address),顧客番号(Customer ID),GCIF（外国送金口座の顧客情報。＋8桁番号）,口座番号(Account Number),電話番号(Phone Number),メールアドレス(Email Address)
山崎 直樹,Naoki Yamazaki,松田通信株式会社,Matsuda Communications ,松田通信,茨城県青ヶ島村下宇和田25丁目4番14号コーポA-302号,571-1387512,BOTKJPJT-661-8012902,2907235,090-0007-6082,stacey.moreno@example.com
斎藤 英樹,Hideki Saito,株式会社佐藤建設,Sato Construction ,佐藤建設,高知県匝瑳市吾妻橋13丁目7番4号,996-6302402,BOTKJPJT-583-3892432,1103700,080-6567-1600,william.maxwell@example.com
斎藤 和也,Kazuya Saito,鈴木通信有限会社,Suzuki Communications ,鈴木通信,沖縄県新宿区三筋29丁目18番15号,044-1991240,BOTKJPJT-785-3549272,6300391,070-6740-0806,kristen.tran@example.com
池田 裕美子,Yumiko Ikeda,有限会社石井建設,Ishii Construction ,石井建設,埼玉県横浜市戸塚区脚折22丁目10番12号 二つ室コート484,627-0467573,BOTKJPJT-567-8560062,1121072,070-3102-0436,ryan.shannon@example.com
佐藤 零,Rei Sato,合同会社藤井印刷,Fujii Printing ,藤井印刷,大阪府西多摩郡瑞穂町土呂部14丁目7番7号 アーバン湯本塩原924,725-3824065,BOTKJPJT-804-6670607,7722446,080-8515-0501,jessica.hanson@example.com
鈴木 翼,Tsubasa Suzuki,合同会社伊藤印刷,Ito Printing ,伊藤印刷,佐賀県港区京橋10丁目13番8号 シャルム柿木沢新田823,609-1858647,BOTKJPJT-559-3323616,3492638,070-3988-9925,james.thomas@example.com
山本 リカ,Rika Yamamoto,石川情報有限会社,Ishikawa Information ,石川情報,群馬県中央区日本堤30丁目20番14号,033-1947247,BOTKJPJT-803-2283596,9273169,080-1418-9605,brianna.perez@example.com
中村 加奈,Kana Nakamura,有限会社石井印刷,Ishii Printing ,石井印刷,千葉県西多摩郡檜原村花川戸41丁目3番4号 コーポ松石900,471-4660129,BOTKJPJT-453-9686309,2953862,090-5310-8640,kimberly.yu@example.com
岡田 浩,Hiroshi Okada,伊藤食品合同会社,Ito Foods ,伊藤食品,徳島県国分寺市筑土八幡町19丁目18番9号 西神田アーバン705,457-8918664,BOTKJPJT-818-7658437,6696424,090-1185-9219,caitlin.rogers@example.com
前田 裕太,Yuta Maeda,井上銀行合同会社,Inoue Bank ,井上銀行,大阪府浦安市前弥六19丁目3番4号 松が谷シティ851,441-9854615,BOTKJPJT-029-5557681,4104903,080-3717-8912,lori.page@example.com
鈴木 春香,Haruka Suzuki,合同会社橋本食品,Hashimoto Foods ,橋本食品,大分県立川市丹勢40丁目25番11号,543-5235469,BOTKJPJT-164-4696655,5556318,080-5915-1237,samantha.stone@example.com
阿部 あすか,Asuka Abe,山本電気株式会社,Yamamoto Electric ,山本電気,静岡県福生市六番町42丁目5番5号 コーポ戸島077,571-2462618,BOTKJPJT-682-4625188,9154101,080-9240-2431,alexander.smith@example.com
松田 知実,Tomomi Matsuda,有限会社石川食品,Ishikawa Foods,石川食品,富山県四街道市高田馬場34丁目18番5号 港南アーバン081,000-5889515,BOTKJPJT-928-9191496,9883603,090-9078-9358,joel.tyler@example.com
遠藤 七夏,Nanaka Endo,高橋建設有限会社,Takahashi Construction ,高橋建設,栃木県八街市豊町1丁目5番7号,157-8427385,BOTKJPJT-939-6436980,5760421,090-4036-5029,peter.williams@example.com
佐々木 涼平,Ryohei Sasaki,合同会社佐藤保険,Sato Insurance ,佐藤保険,神奈川県武蔵村山市京橋9丁目11番19号 大京町シャルム258,602-0411082,BOTKJPJT-517-9624313,6841142,090-0543-3370,christine.bentley@example.com
清水 聡太郎,Sotaro Shimizu,合同会社山田印刷,Yamada Printing ,山田印刷,茨城県武蔵村山市上高野4丁目27番11号,211-3435371,BOTKJPJT-218-2406171,7440094,090-2476-4234,amber.torres@example.com
青木 くみ子,Kumiko Aoki,山口ガス合同会社,Yamaguchi Gas ,山口ガス,茨城県墨田区大中8丁目21番19号,522-0190915,BOTKJPJT-096-9767929,7279333,070-2331-2823,anne.medina@example.com
鈴木 明美,Akemi Suzuki,池田保険合同会社,Ikeda Insurance ,池田保険,広島県横浜市青葉区蟇沼37丁目7番20号 長畑パーク885,877-4003363,BOTKJPJT-748-5286229,4351456,090-2236-5240,dawn.green@example.com
藤井 直子,Naoko Fujii,有限会社橋本通信,Hashimoto Tsushin ,橋本通信,福島県大網白里市下宇和田21丁目6番17号 シティ柿木沢714,759-6096258,BOTKJPJT-154-6622138,3845531,090-7385-3020,james.singh@example.com
岡本 修平,Shuhei Okamoto,有限会社佐藤銀行,Sato Bank,佐藤銀行,福島県豊島区台東38丁目14番16号,079-8555881,BOTKJPJT-156-4035832,7026458,080-9640-9129,brenda.little@example.com
小川 聡太郎,Sotaro Ogawa,合同会社斎藤通信,Saito Tsushin ,斎藤通信,奈良県板橋区鶴ヶ丘36丁目22番8号,233-0167048,BOTKJPJT-907-5922464,8664732,080-6051-8478,ernest.watson@example.com
村上 陽一,Yoichi Murakami,有限会社佐藤食品,Sato Foods,佐藤食品,大阪府川崎市多摩区豊町3丁目10番4号 太田ヶ谷クレスト571,486-5468686,BOTKJPJT-266-1118275,2505453,080-8310-7435,rebecca.santiago@example.com
山口 さゆり,Sayuri Yamaguchi,有限会社森情報,Mori Information ,森情報,徳島県国分寺市勝どき12丁目12番15号 外国府間パーク861,631-7161734,BOTKJPJT-635-7001124,5554288,080-1929-4077,timothy.coleman@example.com
林 あすか,Asuka Hayashi,阿部電気合同会社,Abe Electric ,阿部電気,徳島県長生郡白子町戸島34丁目1番2号,986-2611654,BOTKJPJT-263-1905648,5605923,070-2418-8116,philip.nguyen@example.com
近藤 裕美子,Yumiko Kondo,株式会社松本印刷,Matsumoto Printing ,松本印刷,沖縄県西東京市湯宮26丁目8番5号 高輪クレスト687,667-3067356,BOTKJPJT-715-8622096,1222361,070-3004-4300,benjamin.dyer@example.com
加藤 英樹,Hideki Kato,吉田通信合同会社,Yoshida Tsushin ,吉田通信,滋賀県長生郡長柄町台場13丁目14番16号,358-1006112,BOTKJPJT-874-0121108,9802488,070-9692-9759,tina.brooks@example.com
加藤 健一,Kenichi Kato,合同会社小林水産,Kobayashi Fisheries ,小林水産,茨城県四街道市隼町21丁目2番6号 クレスト橋場845,976-5643632,BOTKJPJT-775-4987356,3782737,090-4288-9950,billy.potter@example.com
後藤 七夏,Nanaka Goto,合同会社山本通信,Yamamoto Tsushin ,山本通信,千葉県荒川区麹町16丁目16番11号 今戸ハイツ175,275-3232999,BOTKJPJT-655-0911918,6694617,090-9579-7094,caroline.mills@example.com
藤田 零,Rei Fujita,株式会社松田電気,Matsuda Electric ,松田電気,岡山県香取市中三依8丁目20番11号,732-4763246,BOTKJPJT-575-4461389,5333712,070-4536-7519,david.wolf@example.com
鈴木 英樹,Hideki Suzuki,青木鉱業有限会社,Aoki Mining ,青木鉱業,島根県横浜市中区四番町22丁目1番7号 パーク月島306,640-0914451,BOTKJPJT-366-0393129,8916306,090-9566-7634,gary.silva@example.com
長谷川 太一,Taichi Hasegawa,小林ガス合同会社,Kobayashi Gas ,小林ガス,高知県横浜市戸塚区白金台18丁目14番8号,566-2504210,BOTKJPJT-713-1664755,6560619,080-5731-6843,david.owen@example.com
